"company","activities","poultry_processing","meat_processing"
"Bradley's Country Store","Meat Processing, Meat Slaughter",NULL,True
"Ali International Inc.","Meat Processing, Meat Slaughter",NULL,True
"South Marion Meats and Retail Market Inc.","Meat Processing, Meat Slaughter",NULL,True
"Osteen Meat Service Inc.","Meat Processing, Meat Slaughter",NULL,True
"Mesa Meat Processors Corp.","Meat Processing",NULL,True
"Lacoronela Meat Processing","Meat Processing",NULL,True
"US Foods, Inc.","Meat Processing",NULL,True
"Vina & Son Meats Dist Corp","Meat Processing",NULL,True
"Hillside Turkey Farm","Meat Processing, Poultry Processing",True,True
"La Montina Inc D/B/A El Tigre","Meat Processing",NULL,True
"Mobleys Custom Cut","Meat Processing, Meat Slaughter",NULL,True
"Amba Ham Company Inc.","Meat Processing",NULL,True
"Detroit Chili Co.","Meat Processing",NULL,True
"Troyers Trail Bologna","Meat Processing",NULL,True
"Burgers' Ozark Country Cured Hams, Inc.","Meat Processing",NULL,True
"Wurst Works","Meat Processing, Poultry Processing",True,True
"HRR Enterprises","Meat Processing",NULL,True
"G & W Hamery","Meat Processing",NULL,True
"Great Lakes Packing Co., International, Inc.","Meat Processing",NULL,True
"R M Felt's Packing Company","Meat Processing",NULL,True
"Andrade Slaughterhouse","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Amor Nino Foods, Inc.","Meat Processing",NULL,True
"Kulana Foods, Ltd.","Meat Processing, Meat Slaughter",NULL,True
"Nakasone Slaughterhouse","Meat Processing, Meat Slaughter",NULL,True
"Lee's Chop Suey, Inc.","Meat Processing",NULL,True
"Sanchez Slaughterhouse","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Wailua Meat Company LLC","Meat Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Asheville Packing Co.","Meat Processing",NULL,True
"Polk's Meat Products, Inc.","Meat Processing",NULL,True
"Elore Enterprises, LLC","Meat Processing",NULL,True
"MMI Meats LLC.","Meat Processing",NULL,True
"Zummo Meat Co., Inc.","Meat Processing",NULL,True
"Benny's Pork Skins","Meat Processing",NULL,True
"Rabe's Quality Meat","Meat Processing",NULL,True
"JBS Souderton, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Thibodeaux's Cajun Food, Inc.","Meat Processing",NULL,True
"M&R Creole Enterprise Inc","Meat Processing",NULL,True
"Mrs Wheats Fabulous Foods, Inc","Meat Processing",NULL,True
"Vinaco Food Products Corporation","Meat Processing",NULL,True
"Union Slaughter House, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Double D Meat Company","Meat Processing",NULL,True
"JV Foods LLC","Meat Processing",NULL,True
"D. J.'s Boudain, Inc.","Meat Processing",NULL,True
"Big A Meatball Company","Meat Processing",NULL,True
"Weiyee Foods Co., Inc.","Meat Processing",NULL,True
"K & C Meat Processing","Meat Processing, Meat Slaughter",NULL,True
"Old Santa Fe Trail, Inc.","Meat Processing",NULL,True
"Tan Dinh Food Products Corp.","Meat Processing",NULL,True
"The Original Zwolle Tamale","Meat Processing",NULL,True
"S & S Foods, Inc.","Meat Processing",NULL,True
"GOA Sausage Company","Meat Processing",NULL,True
"Luther's Smokehouse","Meat Processing, Poultry Processing",True,True
"Van Oriental Food, Inc.","Meat Processing, Poultry Processing",True,True
"Avanti Foods","Meat Processing, Poultry Processing",True,True
"Vace Inc.","Meat Processing",NULL,True
"Empirical Foods, Inc.","Meat Processing",NULL,True
"Variety Meat Company","Meat Processing",NULL,True
"Omaha Steaks International","Meat Processing",NULL,True
"165368 C. Corporation","Meat Processing",NULL,True
"Seaboard Foods, LLC","Certification - Export, Meat Processing, Meat Slaughter",NULL,True
"VPP Group, LLC","Meat Processing, Meat Slaughter",NULL,True
"Kenrick's Meat Co.","Meat Processing, Poultry Processing",True,True
"Wayco Ham Company","Meat Processing",NULL,True
"Rudolph Foods Company","Meat Processing",NULL,True
"Plains Meat Co. LTD","Meat Processing",NULL,True
"Canino's Sausage Company Co., Inc.","Meat Processing",NULL,True
"Henry Kaminski, Inc.","Meat Processing",NULL,True
"Phillips Brothers Country hams, Inc.","Meat Processing",NULL,True
"John W. Williams, Inc.","Meat Processing",NULL,True
"Jensen Meat Co. LLC","Meat Processing, Meat Slaughter",NULL,True
"L & L Packing Company","Meat Processing",NULL,True
"Hemphill Souse & Sausage Inc","Meat Processing",NULL,True
"Malone's Fine Sausage, Inc.","Meat Processing",NULL,True
"Winkler Meats, Inc.","Meat Processing",NULL,True
"Ventura Foods LLC","Certification - Export, Food Inspection, Identification - Meat, Meat Processing, Technical Animal Fats",NULL,True
"Miltona Custom Meats & Sausages","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"J&B Wholesale Distributing Inc.","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freez",NULL,True
"Oscar's Foods","Meat Processing",NULL,True
"Papa Charlie's","Meat Processing",NULL,True
"Quality Pork Processors","Meat Processing, Meat Slaughter",NULL,True
"United States Meat Animal Rese","Meat Processing, Meat Slaughter",NULL,True
"Evans Food Group","Meat Processing",NULL,True
"Skyline Chili LLC","Meat Processing",NULL,True
"Thomas Brothers Foods","Meat Processing",NULL,True
"Uncle Charley's Sausage Co. LLC","Meat Processing",NULL,True
"Taylor's Mexican Chili Co. Inc","Meat Processing",NULL,True
"J & M Meat Co.","Meat Processing",NULL,True
"L. O. Bishop BBQ","Meat Processing",NULL,True
"Polancic's Meats and Tenderloins, Inc.","Meat Processing",NULL,True
"DeKalb County Packing Co.,Inc","Meat Processing, Meat Slaughter",NULL,True
"The Quay Corporation","Meat Processing",NULL,True
"Fair Oaks Farms, LLC","Certification - Export, Identification - Meat, Meat Processing",NULL,True
"Tri Eagle Provisions, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Triland Foods, Inc.","Certification - Export, Meat Processing",NULL,True
"Young & Stout, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Indiana Packers Corporation","Meat Processing, Meat Slaughter",NULL,True
"Indiana Packers Corporation","Certification - Export, Meat Processing",NULL,True
"Rapacki & Sons, LLC","Meat Processing",NULL,True
"Ivars Commissary","Meat Processing",NULL,True
"Mountain Products Inc.","Meat Processing, Poultry Processing",True,True
"Howard & Son Meatpacking","Meat Processing, Meat Slaughter",NULL,True
"Chieffo's Frozen Foods","Meat Processing",NULL,True
"Kansas City Sausage Company, LLC","Meat Processing, Meat Slaughter",NULL,True
"Trenton Halal Packing Company","Meat Processing, Meat Slaughter",NULL,True
"E.N.A. Meat Packing Inc.","Meat Processing, Meat Slaughter",NULL,True
"Scooters Natural Meats","Meat Processing",NULL,True
"Winston's Sausage","Meat Processing",NULL,True
"Grand Valley Foods","Meat Processing",NULL,True
"Sisavath Meatball Co.","Meat Processing",NULL,True
"Alaska Sausage Company, Inc.","Meat Processing",NULL,True
"Snyder's-Lance, Inc.","Meat Processing",NULL,True
"El Toro Meat Packing Inc","Meat Processing",NULL,True
"Los Tres Cochinitos","Meat Processing",NULL,True
"Mitchell Foods, Inc.","Meat Processing",NULL,True
"Gold Medal Packing Inc.","Meat Processing, Meat Slaughter",NULL,True
"Bonavista foods Inc.","Meat Processing",NULL,True
"West Michigan Beef Co. LLC","Meat Processing, Meat Slaughter, Voluntary Slaughter - Meat",NULL,True
"Circle Pines Sausage Haus, Inc.","Meat Processing, Poultry Processing, Voluntary Processing - Exotic",True,True
"P&F MEAT MARKET","Meat Processing, Poultry Processing",True,True
"John's Meat Market","Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",True,True
"Francisco Meat Company","Meat Processing, Poultry Processing",True,True
"Custom Food Solutions, LLC","Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",True,True
"Chair City Meats Inc.","Meat Processing",NULL,True
"Smithfield Fresh Meats Corp.","Meat Processing, Meat Slaughter",NULL,True
"Cangialosi Specialty Sausage Company, Inc.","Meat Processing",NULL,True
"Specialty Sausage Co. LLC","Meat Processing, Poultry Processing",True,True
"Shanghai Ravioli Corporation","Meat Processing, Poultry Processing",True,True
"Morris Meat Packing Company, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Morris Meat Packing","Meat Processing",NULL,True
"Parks Family Meats, LLC","Meat Processing, Meat Slaughter",NULL,True
"Itoham America, Inc.","Meat Processing",NULL,True
"Ezzo Sausage Company","Meat Processing",NULL,True
"Bangkok Meatball Corp. #2","Meat Processing",NULL,True
"Wise Meat Packing","Meat Processing, Meat Slaughter",NULL,True
"Case Pork Roll Company Inc.","Meat Processing",NULL,True
"Papetti's Hygrade Egg Products Inc.","Egg Product",NULL,NULL
"American Egg Products, LLC","Egg Product",NULL,NULL
"Shepherds Processed Eggs","Egg Product",NULL,NULL
"Shepherds Processed Eggs","Egg Product",NULL,NULL
"Tipico Food Inc.","Meat Processing",NULL,True
"Midamar Corporation","Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Poultry Proc",NULL,True
"Lord's Meats, Inc.","Meat Processing",NULL,True
"Global Foods Processing, Inc.","Certification - Export, Meat Processing",NULL,True
"Seugling Meat Packing Inc.","Meat Processing, Meat Slaughter",NULL,True
"Pepsico Caribbean, Inc.","Meat Processing",NULL,True
"Danielson Food Products, Inc","Meat Processing",NULL,True
"Alberto's Meat Shop","Meat Processing",NULL,True
"Tamales By La Casita Inc.","Meat Processing",NULL,True
"North American Bison, LLC","Certification - Export, Meat Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Macelo Central S.E. Inc.","Meat Processing, Meat Slaughter",NULL,True
"Timberline Meats, LLC","Meat Processing, Meat Slaughter",NULL,True
"Cueritos and  Botanas Coahuila","Meat Processing",NULL,True
"Mary's Ranch","Meat Processing, Meat Slaughter",NULL,True
"Mingua Brothers Beef Jerky","Meat Processing",NULL,True
"Ralphs Ranches, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Hardison's Carolina Barbecue, Inc.","Meat Processing",NULL,True
"Mediterranean Foods Inc.","Meat Processing",NULL,True
"Boe Farms","Meat Processing, Meat Slaughter",NULL,True
"Suncrest Farms Country Hams, Inc.","Meat Processing",NULL,True
"Food Supply Inc.","Meat Processing",NULL,True
"Performance Foodservice","Meat Processing",NULL,True
"Vermont Beef Jerky Company","Meat Processing",NULL,True
"Greer's Tennessee Country Hams","Meat Processing",NULL,True
"Jennie-O Turkey Store Sales, LLC","Meat Processing, Poultry Processing, Poultry Slaughter",True,True
"Marcel's Portion Pak, Inc","Meat Processing, Poultry Processing",True,True
"Spectrum Preferred Meats, Inc","Meat Processing, Meat Slaughter",NULL,True
"Puerto Rico Pork Products","Meat Processing",NULL,True
"Mac's Farms Sausage Co., Inc.","Meat Processing",NULL,True
"Bubba Foods, LLC","Meat Processing",NULL,True
"Nebraska Beef Ltd.","Meat Processing, Meat Slaughter",NULL,True
"Narvaez Beef Processing Plant","Meat Processing",NULL,True
"O. K. Food Products","Meat Processing",NULL,True
"Mineola Packing Co. Inc.","Meat Processing, Meat Slaughter",NULL,True
"Elkhorn Valley Packing Co","Meat Processing",NULL,True
"Elkhorn Valley Packing LLC","Meat Processing, Meat Slaughter",NULL,True
"Country Home Processing LLC","Meat Processing, Meat Slaughter",NULL,True
"Grand PaPa's Snacks Inc.","Meat Processing",NULL,True
"Wabash Valley Produce, Inc.","Egg Product",NULL,NULL
"Birmingham Dreamland, Inc.","Meat Processing",NULL,True
"Hampton Meat Processing","Food Inspection, Meat Processing, Meat Slaughter",NULL,True
"American Halal Meat Inc.","Meat Processing, Meat Slaughter",NULL,True
"Superior Farms - Grove Division","Meat Processing",NULL,True
"Prima Sausage Co Inc","Meat Processing",NULL,True
"4-L Processing","Meat Processing, Meat Slaughter",NULL,True
"Lineage Logistics, LLC","Certification - Export, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,True
"Deb-El Food Products Inc.","Certification - Export, Egg Product",NULL,NULL
"Cargill Kitchen Solutions, Inc.","Egg Product, Food Inspection",NULL,NULL
"Rose Acre Farms","Egg Product",NULL,NULL
"Siouxpreme Egg Products","Egg Product",NULL,NULL
"Cort Acres Breaker Plant","Egg Product",NULL,NULL
"Newburgh Egg Corp","Certification - Export, Egg Product",NULL,NULL
"National Food NW LLC","Egg Product",NULL,NULL
"Papetti's Hygrade Egg Products Inc.","Egg Product",NULL,NULL
"Nulaid Foods Inc.","Egg Product",NULL,NULL
"Carolina Packers, Inc.","Meat Processing",NULL,True
"ACME Jerky, LLC","Meat Processing",NULL,True
"Wilcox Farms Inc.","Egg Product",NULL,NULL
"No Man's Land Foods, LLC","Meat Processing",NULL,True
"Georgelo Pizza - Chicago, Inc.","Meat Processing",NULL,True
"Garden Manor Farms, Inc.","Meat Processing",NULL,True
"Bob's Better Beef, Inc.","Meat Processing",NULL,True
"Custom Quality Packers, LLC","Meat Processing, Meat Slaughter",NULL,True
"JDM Specialty Foods","Meat Processing",NULL,True
"Rocky Mountain Natural Meats","Certification - Export, Meat Processing, Voluntary Processing - Meat",NULL,True
"Livingston Meat Processing","Meat Processing, Meat Slaughter",NULL,True
"Halal Farms U.S.A. Inc.","Certification - Export, Meat Processing, Meat Slaughter, Voluntary Slaughter - Meat, Voluntary Slaughter - Rabbit",NULL,True
"Luce's Maine Grown Meats","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Kruse & Son, Inc.","Meat Processing",NULL,True
"M.G. Waldbaum Company","Egg Product",NULL,NULL
"Woodland Bison, Inc.","Food Inspection, Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",NULL,True
"All American Meats, Inc.","Meat Processing",NULL,True
"Smithfield Fresh Meats Corp.","Meat Processing",NULL,True
"Snow Creek Meat Processing, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Nether's Pork Skins Inc.","Meat Processing",NULL,True
"Iowa State University Meat Laboratory","Meat Processing, Meat Slaughter",NULL,True
"Wailua Country Store","Meat Processing",NULL,True
"Blue & Gold Sausage Co.","Meat Processing",NULL,True
"Kissin Fresh Meats Inc.","Meat Processing",NULL,True
"Springville Meat & Cold Storage Co. Inc.","Meat Processing, Voluntary Processing - Meat",NULL,True
"Mareta's Ravioli, Inc.","Meat Processing",NULL,True
"Montana Valley Hams","Meat Processing",NULL,True
"OMH Cook Chill Production Center","Meat Processing, Poultry Processing",True,True
"Atkins Sheep Ranch Inc.","Meat Processing, Voluntary Processing - Meat",NULL,True
"Martinez Distributors","Meat Processing",NULL,True
"Tooele Valley Meat","Meat Processing, Meat Slaughter",NULL,True
"Steve's Meat Market","Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",NULL,True
"Mountain Ranch Smokehouse","Meat Processing, Voluntary Processing - Meat",NULL,True
"Harris Country Meats","Meat Processing, Meat Slaughter, Voluntary Slaughter - Meat",NULL,True
"Wanchese Fish Company, Inc.","Meat Processing",NULL,True
"Sig International, Iowa, Inc.","Certification - Export, Certification - Trichinae, Identification - Meat, Meat Processing, Meat Slaughter",NULL,True
"DIPPER'S PACKING CO. INC.","Meat Processing",NULL,True
"USA Pork Packers Inc","Meat Processing, Meat Slaughter",NULL,True
"PFG Virginia Foodservice","Meat Processing",NULL,True
"Waldron Smokehouse Specialties, Inc.","Meat Processing",NULL,True
"Elysian Fields Farms Inc.","Meat Processing",NULL,True
"Elysian Fields, LLC","Meat Processing, Meat Slaughter",NULL,True
"Sister Schubert's Homemade Rolls, Inc.","Meat Processing",NULL,True
"Chenoa Locker, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Eureka Locker, Inc.","Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"JNB, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Mids Spaghetti Sauce","Meat Processing",NULL,True
"Piccinini Brothers, Inc","Meat Processing, Poultry Processing",True,True
"Delta Meat & Sausage Co.","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Alaska Commercial Co.","Meat Processing",NULL,True
"National Beef Packing Co., L.L.C.","Meat Processing, Meat Slaughter",NULL,True
"B&G Meats Inc.","Meat Processing",NULL,True
"Behrmann Meat & Processing, Inc.","Meat Processing, Meat Slaughter",NULL,True
"PBJ, Inc.","Meat Processing",NULL,True
"Riverside Meats","Meat Processing, Meat Slaughter",NULL,True
"Russo Wholesale Meats","Meat Processing",NULL,True
"Schmitz Diversified Corp.","Meat Processing",NULL,True
"Sofia Chicharrones Inc.","Meat Processing",NULL,True
"Hehnke's","Meat Processing",NULL,True
"Americold Logistics, LLC","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Egg Products, Off-Premise Freez",NULL,True
"Damn Good Foods Inc.","Meat Processing",NULL,True
"Premium Iowa Pork, LLC","Meat Processing, Meat Slaughter",NULL,True
"Premium Minnesota Pork, LLC","Meat Processing, Meat Slaughter",NULL,True
"Gary's Meat","Meat Processing, Meat Slaughter",NULL,True
"Wallace Foods","Meat Processing",NULL,True
"Midway Meats","Meat Processing",NULL,True
"J& J Packing Co., Inc.","Meat Processing, Meat Slaughter",NULL,True
"Forrest Meats, Inc","Meat Processing, Meat Slaughter",NULL,True
"Riverview Meat Company, LLC","Meat Processing, Meat Slaughter",NULL,True
"Slaughter House Inc.","Meat Processing, Meat Slaughter",NULL,True
"The Smokehouse","Meat Processing",NULL,True
"Joe's Beef Jerky","Meat Processing",NULL,True
"Quintero's Meat Co. Inc.","Meat Processing",NULL,True
"Garcia's Meat Company, LLC","Meat Processing",NULL,True
"Harvest House Farms","Meat Processing, Meat Slaughter",NULL,True
"Country Snacks MFG, Inc.","Meat Processing",NULL,True
"El Puerquito De Oro, Inc","Meat Processing",NULL,True
"Bern Meat Plant","Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",NULL,True
"VF America, LLC","Meat Processing, Poultry Processing",True,True
"McBride Meats Co.","Meat Processing, Meat Slaughter",NULL,True
"Zamora Bros Meats Corporation","Meat Processing",NULL,True
"Crawford Sausage Co., Inc.","Meat Processing",NULL,True
"Major Products","Meat Processing, Poultry Processing",True,True
"The Lamb Cooperative, Inc.","Meat Processing",NULL,True
"Foothills Products & Service","Meat Processing, Meat Slaughter",NULL,True
"OWB Packers LLC","Certification - Export, Identification - Meat, Meat Processing, Meat Slaughter",NULL,True
"Double N Inc.","Meat Processing",NULL,True
"National Beef Packing Co., LLC","Meat Processing",NULL,True
"Florida Beef Inc.","Meat Processing, Meat Slaughter",NULL,True
"Cabrito Market, Inc.","Meat Processing, Meat Slaughter",NULL,True
"S.S. Logan Packing Company","Meat Processing",NULL,True
"Cooper-Wilson Inc.","Meat Processing",NULL,True
"Texas Chaw","Meat Processing, Poultry Processing, Voluntary Processing - Meat",True,True
"Kiowa Locker System, LLC","Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",NULL,True
"Mayar's Halal Meat Processing","Meat Processing, Meat Slaughter",NULL,True
"Phuc Huong","Meat Processing",NULL,True
"SME  Foods, LLC","Meat Processing",NULL,True
"Mi Ranchito, Inc.","Meat Processing",NULL,True
"Peoria Packing LTD","Meat Processing, Meat Slaughter",NULL,True
"National Beef Packing Co.","Meat Processing",NULL,True
"Molokai Livestock Cooperative","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Island Grown Farmers Cooperative","Meat Processing, Meat Slaughter",NULL,True
"Island Grown Farmers Cooperative","Meat Processing",NULL,True
"H & M Butchering","Meat Processing, Meat Slaughter",NULL,True
"888 Food Company","Meat Processing",NULL,True
"Barron's Creek Beef Jerky","Meat Processing",NULL,True
"GA Small Ruminant Research and ExtCenter Ag Research College of Ag","Meat Processing, Meat Slaughter",NULL,True
"Flowers Slaughter House","Meat Processing, Meat Slaughter",NULL,True
"B & R Bierocks, Inc.","Meat Processing",NULL,True
"Lao Thai Nam","Meat Processing",NULL,True
"Gardners BBQ","Meat Processing",NULL,True
"Performance Food Group","Meat Processing",NULL,True
"Nixon Family Restaurant, Inc.","Meat Processing",NULL,True
"Olson Meat Plant","Meat Processing, Meat Slaughter",NULL,True
"Rudolph Foods Company, Inc.","Certification - Export, Meat Processing",NULL,True
"Southern Belle Refrigerated, LLC","Animal Foods Inspection, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultr",NULL,True
"General Snack Foods","Meat Processing",NULL,True
"Peoria Packing, Ltd.","Certification - Export, Meat Processing",NULL,True
"GoodTimes Beef Jerky","Meat Processing",NULL,True
"Pasta-Bilities","Meat Processing",NULL,True
"Jennette Brothers, Inc.","Meat Processing",NULL,True
"Wayne Mays Meat Processing","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Cattaneo BBQ Service","Meat Processing",NULL,True
"Palumbo's Meat Market","Meat Processing, Meat Slaughter",NULL,True
"Han Yang Inc","Meat Processing",NULL,True
"Williams Foods, Inc.","Meat Processing",NULL,True
"Farmers Union Industries, LLC","Certification - Export, Meat Processing, Meat Slaughter",NULL,True
"Manzo's Kitchen, Inc","Meat Processing",NULL,True
"Fresh Mark Cold Storage","Certification - Cysticercus, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Poultry Processin",NULL,True
"King's Quality Meats","Meat Processing, Meat Slaughter",NULL,True
"Fieldstone Meats Of Alabama, Inc.","Meat Processing",NULL,True
"Taylors Meat Processing","Meat Processing, Meat Slaughter",NULL,True
"T.K.O.","Meat Processing",NULL,True
"Broken Arrow Ranch, Inc.","Meat Processing",NULL,True
"PFG Hale","Meat Processing",NULL,True
"Holifield Farms, Inc.","Meat Processing, Meat Slaughter",NULL,True
"FREED, LLC","Meat Processing",NULL,True
"Smithfield Fresh Meats Corp.","Meat Processing",NULL,True
"Tyson Fresh Meats, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Coursey's Smoked Meats","Meat Processing",NULL,True
"Del Real Foods, LLC","Meat Processing, Poultry Processing",True,True
"Lone Star Beef Processors, L.P.","Meat Processing, Meat Slaughter",NULL,True
"Stallings Head Cheese Co., Inc.","Meat Processing",NULL,True
"Independent Meat Company","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,True
"Independent Meat Company","Meat Processing",NULL,True
"Lone Star Meats Ltd.","Meat Processing",NULL,True
"J & D Foods, Inc.","Meat Processing",NULL,True
"Oberle Meats","Meat Processing",NULL,True
"Granna's LLC","Meat Processing, Poultry Processing",True,True
"Tyson Fresh Meats, inc.","Certification - Export, Meat Processing, Meat Slaughter",NULL,True
"Badger Boiled Ham Co., Inc.","Meat Processing",NULL,True
"Tyson Fresh Meats, Inc","Certification - Export, Meat Processing",NULL,True
"Tyson Fresh Meats, Inc","Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc.","Certification - Export, Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc","Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc","Certification - Export, Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc.","Meat Processing",NULL,True
"Tyson Fresh Meats, Inc.","Certification - Export, Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing",NULL,True
"Tyson Fresh Meats, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Tyson Fresh Meats, Inc","Meat Processing, Meat Slaughter",NULL,True
"Alsleben Meats, LLC.","Meat Processing, Meat Slaughter",NULL,True
"Long Prairie Packing Company, LLC","Meat Processing, Meat Slaughter",NULL,True
